setup,answer_relevance,faithfulness,contextual_relevance
i_15_hs_True_llm_gemini-1.5-pro_topk_5_cs_256_prep_TokenTextSplitter,0.9442857142857143,0.9254761904761906,0.1304496151178837
i_11_hs_True_llm_gemini-1.5-pro_topk_3_cs_256_prep_TokenTextSplitter,0.9416666666666668,0.8726666666666667,0.17057920202912719
i_16_hs_True_llm_gemini-1.5-pro_topk_5_cs_256_prep_SentenceSplitter,0.9165000000000001,0.86,0.1316426087543844
i_4_hs_True_llm_llama-3.2-11B-vision-instruct_topk_3_cs_256_prep_SentenceSplitter,0.9109999999999999,0.91,0.19791164264793373
i_7_hs_True_llm_llama-3.2-11B-vision-instruct_topk_5_cs_256_prep_TokenTextSplitter,0.9033333333333333,0.914,0.13957986026650107
i_8_hs_True_llm_llama-3.2-11B-vision-instruct_topk_5_cs_256_prep_SentenceSplitter,0.8966666666666667,0.9416666666666668,0.13953957853312998
i_24_hs_False_llm_llama-3.2-11B-vision-instruct_topk_5_cs_256_prep_SentenceSplitter,0.8916666666666667,0.8636666666666666,0.13235822321273313
i_5_hs_True_llm_llama-3.2-11B-vision-instruct_topk_5_cs_128_prep_TokenTextSplitter,0.89,0.785,0.16488003066611245
i_10_hs_True_llm_gemini-1.5-pro_topk_3_cs_128_prep_SentenceSplitter,0.8846666666666667,0.9243333333333333,0.21488396648071573
i_32_hs_False_llm_gemini-1.5-pro_topk_5_cs_256_prep_SentenceSplitter,0.8828571428571429,0.8616666666666667,0.13410948709380038
i_31_hs_False_llm_gemini-1.5-pro_topk_5_cs_256_prep_TokenTextSplitter,0.8786666666666666,0.8396666666666667,0.1212313631511425
i_13_hs_True_llm_gemini-1.5-pro_topk_5_cs_128_prep_TokenTextSplitter,0.8785873015873016,0.8484444444444444,0.1574512133532042
i_1_hs_True_llm_llama-3.2-11B-vision-instruct_topk_3_cs_128_prep_TokenTextSplitter,0.8716666666666667,0.8566666666666667,0.21598678514467987
i_12_hs_True_llm_gemini-1.5-pro_topk_3_cs_256_prep_SentenceSplitter,0.8610606060606061,0.8768095238095238,0.18879032697072964
i_20_hs_False_llm_llama-3.2-11B-vision-instruct_topk_3_cs_256_prep_SentenceSplitter,0.8606666666666666,0.84,0.17030147190026795
i_14_hs_True_llm_gemini-1.5-pro_topk_5_cs_128_prep_SentenceSplitter,0.8584999999999999,0.8798095238095237,0.15307504327557497
i_3_hs_True_llm_llama-3.2-11B-vision-instruct_topk_3_cs_256_prep_TokenTextSplitter,0.85,0.8566666666666667,0.16224327587367637
i_2_hs_True_llm_llama-3.2-11B-vision-instruct_topk_3_cs_128_prep_SentenceSplitter,0.8366666666666667,0.88,0.2217631676888643
i_6_hs_True_llm_llama-3.2-11B-vision-instruct_topk_5_cs_128_prep_SentenceSplitter,0.8333333333333333,0.895,0.1507076382120618
i_23_hs_False_llm_llama-3.2-11B-vision-instruct_topk_5_cs_256_prep_TokenTextSplitter,0.8233333333333333,0.866,0.12460656889387617
i_9_hs_True_llm_gemini-1.5-pro_topk_3_cs_128_prep_TokenTextSplitter,0.8229761904761905,0.8263333333333333,0.20304293111928184
i_27_hs_False_llm_gemini-1.5-pro_topk_3_cs_256_prep_TokenTextSplitter,0.8105,0.855,0.1576570442524676
i_21_hs_False_llm_llama-3.2-11B-vision-instruct_topk_5_cs_128_prep_TokenTextSplitter,0.8069047619047619,0.8909999999999999,0.16447637455507988
i_22_hs_False_llm_llama-3.2-11B-vision-instruct_topk_5_cs_128_prep_SentenceSplitter,0.8058095238095239,0.878,0.1513724760699598
i_28_hs_False_llm_gemini-1.5-pro_topk_3_cs_256_prep_SentenceSplitter,0.794952380952381,0.9113333333333334,0.1641088201865433
i_26_hs_False_llm_gemini-1.5-pro_topk_3_cs_128_prep_SentenceSplitter,0.7685,0.852,0.20423003187043434
i_29_hs_False_llm_gemini-1.5-pro_topk_5_cs_128_prep_TokenTextSplitter,0.7636666666666666,0.8102857142857143,0.15994724847531394
i_19_hs_False_llm_llama-3.2-11B-vision-instruct_topk_3_cs_256_prep_TokenTextSplitter,0.7609999999999999,0.9383333333333332,0.15366489033677103
i_30_hs_False_llm_gemini-1.5-pro_topk_5_cs_128_prep_SentenceSplitter,0.7591666666666668,0.8666666666666667,0.14513139509491002
i_25_hs_False_llm_gemini-1.5-pro_topk_3_cs_128_prep_TokenTextSplitter,0.7530050505050505,0.8591428571428571,0.21306393194009293
i_17_hs_False_llm_llama-3.2-11B-vision-instruct_topk_3_cs_128_prep_TokenTextSplitter,0.7416666666666667,0.8666666666666667,0.1954616839988357
i_18_hs_False_llm_llama-3.2-11B-vision-instruct_topk_3_cs_128_prep_SentenceSplitter,0.7266666666666667,0.91,0.1910723151977022
